keyword,article
K00012,10015771407
K00011,10015770936
K00010,130007543134
K00010,110006423079
K00010,10022005765
K00010,10015771737
K00010,10015770936
K00009,10015771737
K00009,10015770936
K00008,110002809485
K00008,10015771737
K00008,10015770936
K00007,40020775891
K00007,130007917743
K00007,130007917721
K00007,130007543134
K00007,130006730828
K00007,130006415583
K00007,130005399517
K00007,130005396365
K00007,130005118950
K00007,130005118945
K00007,130005089820
K00007,130004927345
K00007,130001885112
K00007,130000455455
K00007,130000455454
K00007,130000308084
K00007,130000097882
K00007,120005198544
K00007,110007658018
K00007,110006423079
K00007,110002809485
K00007,10031173611
K00007,10025992144
K00007,10022005765
K00007,10015771737
K00007,10015771407
K00007,10015770936
K00007,10015770697
K00006,10015770697
K00005,130007917721
K00005,130007917606
K00005,130006730828
K00005,130005118945
K00005,10031173611
K00005,10015770697
K00004,130000097882
K00004,10015770697
K00003,130007917606
K00003,10015770697
K00002,10015770697
K00001,10015770697
K00000,10015770697
